taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_orders.report,W133-25PVC-2-17_kraken2_bracken_orders.report,W132-25PVC-1-17_kraken2_bracken_orders.report,W131-25PET-3-17_kraken2_bracken_orders.report,W130-25PET-2-17_kraken2_bracken_orders.report,W129-25PET-1-17_kraken2_bracken_orders.report,W128-25PE0.6-3-17_kraken2_bracken_orders.report,W127-25PE0.6-2-17_kraken2_bracken_orders.report,W126-25PE0.6-1-17_kraken2_bracken_orders.report,W125-25S-3-17_kraken2_bracken_orders.report,W124-25S-2-17_kraken2_bracken_orders.report,W123-25S-1-17_kraken2_bracken_orders.report,Q66-25S-3-0_kraken2_bracken_orders.report,Q65-25S-2-0_kraken2_bracken_orders.report,Q64-25S-1-0_kraken2_bracken_orders.report,Q63-25PVC-3-11_kraken2_bracken_orders.report,Q62-25PVC-2-11_kraken2_bracken_orders.report,Q61-25PVC-1-11_kraken2_bracken_orders.report,Q60-25PET-3-11_kraken2_bracken_orders.report,Q59-25PET-2-11_kraken2_bracken_orders.report,Q58-25PET-1-11_kraken2_bracken_orders.report,Q57-25PE0.6-3-11_kraken2_bracken_orders.report,Q56-25PE0.6-2-11_kraken2_bracken_orders.report,Q55-25PE0.6-1-11_kraken2_bracken_orders.report,Q54-25S-3-11_kraken2_bracken_orders.report,Q53-25S-2-11_kraken2_bracken_orders.report,Q52-25S-1-11_kraken2_bracken_orders.report,Q51-25PVC-3-3_kraken2_bracken_orders.report,Q50-25PVC-2-3_kraken2_bracken_orders.report,Q49-25PVC-1-3_kraken2_bracken_orders.report,Q48-25PET-3-3_kraken2_bracken_orders.report,Q47-25PET-2-3_kraken2_bracken_orders.report,Q46-25PET-1-3_kraken2_bracken_orders.report,Q45-25PE0.6-3-3_kraken2_bracken_orders.report,Q44-25PE0.6-2-3_kraken2_bracken_orders.report,Q43-25PE0.6-1-3_kraken2_bracken_orders.report,Q42-25S-3-3_kraken2_bracken_orders.report,Q41-25S-2-3_kraken2_bracken_orders.report,Q40-25S-1-3_kraken2_bracken_orders.report,Q34-25PE0.1-2-11_kraken2_bracken_orders.report,Q33-25PE0.1-1-11_kraken2_bracken_orders.report,Q32-25PE0.1-2-3_kraken2_bracken_orders.report,Q31-25PE0.1-1-3_kraken2_bracken_orders.report
R2,2731342,    Monodnaviria,,,,,,,,,23.0,22.0,,,14.0,,,3.0,3.0,,13.0,9.0,7.0,,7.0,13.0,15.0,14.0,,8.0,4.0,2.0,15.0,,9.0,13.0,9.0,12.0,,,,25.0,8.0,8.0,25.0
K,2731360,      Heunggongvirae,2.0,,,4.0,10.0,,5.0,,,,,,3.0,9.0,47.0,,12.0,,,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,3.0,,,6.0
P,2731361,        Peploviricota,,,,4.0,,,3.0,,,,,,3.0,2.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,3.0,,,2.0
C,2731363,          Herviviricetes,,,,4.0,,,3.0,,,,,,3.0,2.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,3.0,,,2.0
P,2731618,        Uroviricota,2.0,,,,10.0,,2.0,,,,,,,7.0,44.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
C,2731619,            Caudoviricetes,2.0,,,,10.0,,2.0,,,,,,,7.0,44.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
R2,2732004,    Varidnaviria,,,,4.0,2.0,,,,3.0,,,,8.0,,2.0,2.0,,,,,,2.0,2.0,2.0,,,2.0,,,3.0,7.0,2.0,2.0,,3.0,,2.0,,,3.0,,,
K,2732005,      Bamfordvirae,,,,4.0,2.0,,,,3.0,,,,8.0,,2.0,2.0,,,,,,2.0,2.0,2.0,,,2.0,,,3.0,7.0,2.0,2.0,,3.0,,2.0,,,3.0,,,
P,2732007,        Nucleocytoviricota,,,,4.0,2.0,,,,3.0,,,,8.0,,2.0,2.0,,,,,,2.0,2.0,2.0,,,2.0,,,3.0,7.0,2.0,2.0,,3.0,,2.0,,,3.0,,,
K,2732092,      Shotokuvirae,,,,,,,,,23.0,22.0,,,14.0,,,3.0,3.0,,13.0,9.0,7.0,,7.0,13.0,15.0,14.0,,8.0,4.0,2.0,15.0,,9.0,13.0,9.0,12.0,,,,25.0,8.0,8.0,25.0
K,2732397,      Pararnavirae,,,,,,,,5.0,11.0,31.0,3.0,19.0,46.0,13.0,7.0,32.0,7.0,6.0,,3.0,19.0,7.0,29.0,14.0,25.0,6.0,12.0,9.0,20.0,9.0,23.0,9.0,8.0,6.0,5.0,14.0,10.0,18.0,7.0,7.0,4.0,3.0,5.0
P,2732409,        Artverviricota,,,,,,,,5.0,11.0,31.0,3.0,19.0,46.0,13.0,7.0,32.0,7.0,6.0,,3.0,19.0,7.0,29.0,14.0,25.0,6.0,12.0,9.0,20.0,9.0,23.0,9.0,8.0,6.0,5.0,14.0,10.0,18.0,7.0,7.0,4.0,3.0,5.0
P,2732415,        Cossaviricota,,,,,,,,,23.0,22.0,,,14.0,,,3.0,3.0,,13.0,9.0,7.0,,7.0,13.0,15.0,14.0,,8.0,4.0,2.0,15.0,,9.0,13.0,9.0,12.0,,,,25.0,8.0,8.0,25.0
C,2732421,          Papovaviricetes,,,,,,,,,23.0,22.0,,,14.0,,,3.0,3.0,,13.0,9.0,7.0,,7.0,13.0,15.0,14.0,,8.0,4.0,2.0,15.0,,9.0,13.0,9.0,12.0,,,,25.0,8.0,8.0,25.0
C,2732514,          Revtraviricetes,,,,,,,,5.0,11.0,31.0,3.0,19.0,46.0,13.0,7.0,32.0,7.0,6.0,,3.0,19.0,7.0,29.0,14.0,25.0,6.0,12.0,9.0,20.0,9.0,23.0,9.0,8.0,6.0,5.0,14.0,10.0,18.0,7.0,7.0,4.0,3.0,5.0
C,2732523,          Megaviricetes,,,,4.0,2.0,,,,3.0,,,,8.0,,2.0,2.0,,,,,,2.0,2.0,,,,2.0,,,3.0,7.0,2.0,2.0,,3.0,,2.0,,,3.0,,,
C,2732525,          Pokkesviricetes,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
O,2732527,            Chitovirales,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
O,2732532,            Sepolyvirales,,,,,,,,,23.0,22.0,,,14.0,,,3.0,3.0,,13.0,9.0,7.0,,7.0,13.0,15.0,14.0,,8.0,4.0,2.0,15.0,,9.0,13.0,9.0,12.0,,,,25.0,8.0,8.0,25.0
O,2732554,            Imitervirales,,,,4.0,2.0,,,,3.0,,,,5.0,,2.0,2.0,,,,,,2.0,2.0,,,,2.0,,,3.0,5.0,,2.0,,3.0,,2.0,,,3.0,,,
O,2732555,            Pimascovirales,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,
O,2762275,            Trueperales,4.0,7.0,8.0,10.0,6.0,15.0,5.0,8.0,9.0,12.0,5.0,12.0,6.0,6.0,2.0,4.0,3.0,5.0,5.0,7.0,8.0,5.0,9.0,8.0,7.0,4.0,4.0,3.0,2.0,5.0,3.0,3.0,6.0,14.0,4.0,5.0,8.0,5.0,9.0,7.0,7.0,5.0,7.0
O,2770089,            Thermosediminibacterales,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
P1,2788786,          unclassified Uroviricota,2.0,,,,10.0,,2.0,,,,,,,7.0,44.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
O,2790996,          Mycoplasmoidales,,,,,3.0,,,,,3.0,,3.0,,,,4.0,,,,,11.0,,,,,4.0,,,,,,,,,,,,,,,,,
O,2800059,            Maricaulales,181.0,191.0,226.0,225.0,188.0,146.0,295.0,178.0,233.0,283.0,240.0,186.0,709.0,647.0,404.0,245.0,196.0,246.0,171.0,155.0,179.0,131.0,136.0,132.0,197.0,197.0,154.0,169.0,179.0,209.0,217.0,110.0,193.0,252.0,195.0,153.0,211.0,167.0,192.0,173.0,170.0,196.0,187.0
O,2800060,            Hyphomonadales,375.0,485.0,503.0,834.0,910.0,943.0,1345.0,1136.0,707.0,1336.0,1185.0,1171.0,3350.0,2857.0,2977.0,307.0,325.0,323.0,1032.0,675.0,774.0,945.0,701.0,677.0,885.0,966.0,897.0,462.0,512.0,808.0,1562.0,1076.0,1362.0,1368.0,1125.0,1186.0,1338.0,1386.0,1427.0,666.0,835.0,1034.0,1373.0
O,2805415,            Jatrophihabitantales,6.0,3.0,5.0,10.0,13.0,18.0,22.0,3.0,6.0,6.0,7.0,8.0,49.0,11.0,23.0,,,2.0,,15.0,,6.0,8.0,3.0,12.0,13.0,5.0,6.0,10.0,8.0,20.0,7.0,9.0,8.0,,8.0,12.0,13.0,22.0,9.0,,9.0,8.0
